iter	Logloss
0	0.5763721277
1	0.5041521075
2	0.4540263636
3	0.4177099022
4	0.3930006641
5	0.3738931731
6	0.358836314
7	0.3481143482
8	0.3399253441
9	0.3337248558
10	0.3280055318
11	0.3239304867
12	0.3192503885
13	0.3161705828
14	0.3138762736
15	0.3112264012
16	0.3096829562
17	0.3075928205
18	0.3064576988
19	0.3051392119
20	0.3041579835
21	0.3032794817
22	0.3020354286
23	0.3008318012
24	0.2988939233
25	0.2980415471
26	0.2970751655
27	0.2962878999
28	0.2957643928
29	0.2949704755
30	0.2940624858
31	0.2936811899
32	0.292805232
33	0.292344245
34	0.291811926
35	0.2908211235
36	0.2904980665
37	0.2904044008
38	0.2899702957
39	0.2898697571
40	0.2891255566
41	0.2876338565
42	0.2871191782
43	0.2867939608
44	0.2860298343
45	0.2856318765
46	0.2852056327
47	0.2846518067
48	0.2840479462
49	0.2833053021
50	0.2831581861
51	0.2829214615
52	0.282686533
53	0.2824002111
54	0.281632363
55	0.28133176
56	0.2813252725
57	0.2808968296
58	0.2805178279
59	0.2800864797
60	0.2795600158
61	0.27942498
62	0.2790767277
63	0.2788021607
64	0.2780800739
65	0.2775311583
66	0.2770563418
67	0.2766479021
68	0.276247547
69	0.2759784152
70	0.2756712907
71	0.2755233568
72	0.2753180668
73	0.2752915475
74	0.2751851056
75	0.2747840181
76	0.2743936932
77	0.2740880424
78	0.2739045974
79	0.2737434219
80	0.273564503
81	0.2729186798
82	0.2726820128
83	0.2720592377
84	0.2716291282
85	0.2715557281
86	0.2713561668
87	0.2707484653
88	0.2705553861
89	0.2704237023
90	0.2702290471
91	0.2700337065
92	0.2698819137
93	0.2698013843
94	0.2697371311
95	0.2694905006
96	0.2693662706
97	0.2692466605
98	0.269157275
99	0.2690347897
