iter	Passed	Remaining
0	27	2714
1	57	2824
2	93	3015
3	125	3004
4	153	2924
5	181	2849
6	211	2813
7	240	2767
8	269	2725
9	298	2686
10	327	2646
11	355	2607
12	383	2568
13	412	2535
14	441	2503
15	471	2474
16	499	2440
17	528	2409
18	558	2379
19	587	2351
20	615	2316
21	645	2287
22	676	2264
23	706	2236
24	736	2210
25	775	2207
26	809	2188
27	839	2158
28	868	2126
29	897	2094
30	929	2068
31	958	2037
32	987	2004
33	1016	1972
34	1044	1939
35	1074	1910
36	1106	1883
37	1136	1854
38	1166	1824
39	1196	1794
40	1224	1762
41	1254	1731
42	1283	1701
43	1313	1671
44	1342	1640
45	1371	1609
46	1400	1579
47	1429	1549
48	1459	1518
49	1488	1488
50	1518	1458
51	1559	1439
52	1594	1414
53	1623	1383
54	1652	1351
55	1681	1321
56	1710	1290
57	1745	1264
58	1776	1234
59	1805	1203
60	1834	1172
61	1863	1142
62	1891	1111
63	1920	1080
64	1949	1049
65	1979	1019
66	2007	988
67	2037	958
68	2066	928
69	2095	898
70	2124	867
71	2154	837
72	2182	807
73	2212	777
74	2240	746
75	2269	716
76	2298	686
77	2327	656
78	2355	626
79	2384	596
80	2413	566
81	2442	536
82	2471	506
83	2500	476
84	2529	446
85	2557	416
86	2588	386
87	2651	361
88	2680	331
89	2710	301
90	2738	270
91	2770	240
92	2801	210
93	2832	180
94	2861	150
95	2890	120
96	2918	90
97	2947	60
98	2975	30
99	3005	0
